" Población Total por Edades y Sexo"

"SEXO",,"VARON","MUJER","TOTAL",
,,POBLACION,POBLACION,POBLACION
FECHA,EDAD,Sum,Sum,Sum
,"  32",  19150.8815,18647.658999,37798.540499
,"  33",19386.018244,19293.676446, 38679.69469
,"  34",19531.235954,18273.613115,37804.849069
,"  35",18892.792045,18247.740654,37140.532699
,"  36",18908.675782,18012.079029,36920.754811
,"  37",19299.309951, 18369.31637,37668.626321
,"  38",19025.050607,17963.162971,36988.213578
,"  39",18525.652837,17495.886446,36021.539283
,"  40",18299.729874,17425.141867, 35724.87174
,"  41",17784.038753, 16478.57477,34262.613523
,"  42",17246.949248,15614.526888,32861.476136
,"  43",16299.177886,14877.831512,31177.009397
,"  44",16374.802554,14754.614963,31129.417516
,"  45",16298.235427,14457.601124,30755.836551
,"  46",15114.941355,13693.330601,28808.271956
,"  47",15365.873306,14234.693329,29600.566634
,"  48",15259.110175,14618.375688,29877.485863
,"  49",16417.773642,15027.233039,31445.006681
,"  50",14384.965119,13591.466945,27976.432064
,"  51",13884.862712,13415.962789,27300.825501
,"  52",14783.530002,14629.721465,29413.251467
,"  53",14287.578846,13808.244728,28095.823574
,"  54", 14401.07815,14005.218354,28406.296505
,"  55",12738.344534, 12731.74134,25470.085874
,"  56",12084.998744,12132.858116, 24217.85686
,"  57",13519.701372,13920.956026,27440.657397
,"  58",10032.249901,10462.845614,20495.095515
,"  59",10646.715116,11072.153782,21718.868898
,"  60",12232.984208,12926.134578,25159.118786
,"  61",15137.461896,16486.640099,31624.101995
,"  62",14402.531582,15542.498008, 29945.02959
,"  63",14724.763468,15822.771174,30547.534642
,"  64",14981.556379,16096.354344,31077.910723
,"  65",15440.308229,16713.824753,32154.132982
,"  66",14847.914474,16042.117071,30890.031545
,"  67",15092.107253,16791.086714,31883.193966
,"  68",13886.251441, 15769.70427,29655.955712
,"  69",14363.714166,16278.372953,30642.087119
,"  70",13233.675048,15433.432048,28667.107096
,"  71",13590.013172,15891.904534,29481.917706
,"  72",12405.432865,14854.722747,27260.155612
,"  73",12155.002239,14765.718832,26920.721071
,"  74",11940.635744,14593.300155,  26533.9359
,"  75",11289.706296,14252.447559,25542.153855
,"  76",10603.188643,12800.778545,23403.967188
,"  77",8780.3800093, 12025.01165,20805.391659
,"  78",7098.1612053,10148.263778,17246.424983
,"  79",6296.6794464, 10019.18147,16315.860917
,"  80",5920.3929953,9262.3945839,15182.787579
,"  81",5570.0867358,8935.6995304,14505.786266
,"  82",5165.8359799,8760.5426774,13926.378657
,"  83",4626.0684807,8234.1905329,12860.259014
,"  84",4335.6711638,7862.4032691,12198.074433
,"  85",3845.1233971,7078.6364104,10923.759807
,"  86",3455.4231409,6212.2926257,9667.7157666
,"  87",3040.1134547,5526.2428058,8566.3562605
,"  88",2535.7625574,4717.6233366, 7253.385894
,"  89", 2151.564798,3848.0586646,5999.6234626
,"  90",1624.1826272,3103.4439714,4727.6265986
,"  91",1385.6192848,2573.7161633,3959.3354481
,"  92",1043.5458464,2148.2887237,3191.8345701
,"  93", 705.0267165,1550.4007341,2255.4274506
,"  94", 550.7450248,1237.8778919,1788.6229167
,"  95", 423.6830574, 935.8080614,1359.4911188
,"  96", 286.3938671, 624.8152965, 911.2091636
,"  97", 308.5649886, 581.6038933, 890.1688819
,"  98", 152.2719776, 338.0511076, 490.3230852
,"  99",  66.3021721, 177.9539566, 244.2561287
," 100",  43.5474267,  94.4213567, 137.9687834
," 101",  18.3135876,  67.1117515,  85.4253391
," 102",   9.1675089,  38.3853666,  47.5528755
," 103",   9.2224525,   19.489572,  28.7120245
," 104",   5.0901466,  11.1394404,   16.229587
," 105",   5.1047755,   8.1262596,  13.2310351
," 106",           2,   4.1046302,   6.1046302
," 107",           1,           4,           5
," 108",           2,    4.097141,    6.097141
," 110",           .,           1,           1
," 113",           1,   2.1236075,   3.1236075
," 115",   1.0018039,           1,   2.0018039
," 116",           .,           2,           2
," 119",           2,   0.9921259,   2.9921259
," 120",           1,           .,           1

"1999","   0",7423.4028045,6907.5091827,14330.911987
,"   1",7849.3885162,7387.9023276,15237.290844
,"   2",7846.4389758,7550.3575853,15396.796561
,"   3", 8958.532884,8560.6137061, 17519.14659
,"   4",9387.2660633,8635.3812078,18022.647271
,"   5",9794.9656978,9306.7556364,19101.721334
,"   6",10379.708784,9699.7665967, 20079.47538
,"   7",10645.491319,9857.5489405,20503.040259
,"   8",10778.188017,10403.684477,21181.872493
,"   9",11261.994945,10881.790775,22143.785721
,"  10", 11728.55852,10824.103519,22552.662039
,"  11",12031.466609, 11614.78341,23646.250019
,"  12",12803.864851,12031.577165,24835.442016
,"  13",13620.322282,12703.993592,26324.315874
,"  14",14148.335416,13372.417071,27520.752487
,"  15",14585.508077,  13813.2013,28398.709376
,"  16", 15503.53713,14781.574618,30285.111749
,"  17",16226.294162,15230.590155,31456.884317
,"  18",17309.674394,   16061.837,33371.511393
,"  19",17705.482457,16960.097673,34665.580129
,"  20",18850.105899,17885.829962,36735.935861
,"  21",18959.462511,17958.754233,36918.216744
,"  22",19617.226155,18823.433574,38440.659728
,"  23",19353.986472,18344.442178,37698.428649
,"  24",19189.666113,18397.914482,37587.580595
,"  25",18857.863282,18088.661641,36946.524923
,"  26",18990.581579,17941.651181, 36932.23276
,"  27",18953.855897,17787.136336,36740.992233
,"  28",18681.747837,17730.521609,36412.269446
,"  29",18911.420242,17923.401867,36834.822109
,"  30",18680.101675,17821.725962,36501.827636
,"  31",18858.101682, 18234.52337,37092.625052
,"  32",18653.372562,18188.814933,36842.187496
,"  33",19035.812631,18481.569445,37517.382076
,"  34",19263.790621, 19119.54295,38383.333572
,"  35",19426.676333,18147.263764,37573.940097
,"  36",18866.821181,18211.402272,37078.223453
,"  37",18885.543647,17992.739049,36878.282696
,"  38", 19305.41943,18403.768357,37709.187787
,"  39",19048.837324,17929.485412,36978.322736
,"  40",18549.720006,17494.062513,36043.782518
,"  41",18319.520234,17469.901989,35789.422223
,"  42",17825.551239,16515.068118,34340.619357
,"  43",17227.066438,15630.232079,32857.298517
,"  44",16413.332659,14870.831944,31284.164603
,"  45",16447.668584,14828.171956, 31275.84054
,"  46",16291.988438,14554.197861,30846.186299
,"  47",15171.714335, 13761.58349,28933.297826
,"  48",15401.888247,14317.706486,29719.594734
,"  49",15294.675862, 14671.02621,29965.702072
,"  50",16446.931675,15089.031274,31535.962949
,"  51",14458.810166,13684.945593,28143.755759
,"  52",13915.226473, 13486.07558,27401.302053
,"  53", 14855.78754,14723.332202,29579.119743
,"  54",14306.595447,13916.201804,28222.797251
,"  55",14468.567547,14112.414408,28580.981955
,"  56",12767.191991,12819.146629, 25586.33862
,"  57",12138.476745,12202.375872,24340.852617
,"  58",13551.783441,14041.385863,27593.169304
,"  59",10049.700377,10527.976069,20577.676446
,"  60",10658.640038,11198.763469,21857.403506
,"  61",12295.926837,13034.263164,25330.190001
,"  62",15158.170763,16606.105252,31764.276015
,"  63",14421.018416,15617.673306,30038.691723
,"  64",14767.185069,15935.036001, 30702.22107
,"  65",14996.326556,16216.356905,31212.683461
,"  66",15422.155093,16803.855824,32226.010918
,"  67",14806.053324,16135.986818,30942.040143
,"  68",14992.845387,16871.571704,31864.417091
,"  69",13795.040047,15812.599876,29607.639923
,"  70",14205.540353,16309.904711,30515.445063
,"  71",13140.424494,15462.386958,28602.811452
,"  72",13403.085155,15852.220526,29255.305681
,"  73",12207.152326,14830.706801,27037.859127
,"  74",11916.302265, 14716.55047,26632.852735
,"  75",11641.415365,14532.573762,26173.989127
,"  76",10985.367432,14141.863542,25127.230975
,"  77",10219.952833,12698.171519,22918.124352
,"  78",8385.5843815,11827.760894,20213.345275
,"  79",6766.2066226,9944.7171782,16710.923801
,"  80",6004.4935677,9771.3358526, 15775.82942
,"  81",5613.7414134,9019.2517309,14632.993144
,"  82",5228.0137505,8675.9113961,13903.925147
,"  83",4838.5686753,8424.0689831,13262.637658
,"  84",4299.5763356,7849.3459604,12148.922296
,"  85",3963.7817851,7430.9813336,11394.763119
,"  86",3515.7921709,6635.9989071,10151.791078
,"  87",3090.3049422,5769.4267257,8859.7316679
,"  88",2691.6523355,5058.2426699,7749.8950054
,"  89",2225.0095719, 4288.514029,6513.5236009
,"  90",1830.0592002,3396.6685207,5226.7277209
,"  91",1386.9365269,2700.1931712,4087.1296981
,"  92",1139.3718725,2219.3917456,3358.7636181
,"  93", 853.1050628, 1807.578843,2660.6839058
,"  94", 552.4175138,1278.3117458,1830.7292596
,"  95", 419.7374485,1006.4072787,1426.1447272
,"  96", 335.4336243, 770.0925524,1105.5261767
,"  97", 225.8169382, 496.5754176, 722.3923558
,"  98", 309.4950864, 545.1252208, 854.6203072
,"  99",  56.4995996, 194.3594685, 250.8590681
," 100",  39.0724706, 118.2618633, 157.3343339
," 101",  34.0092581,  69.5448897, 103.5541478
," 102",  11.2872273,  48.1284605,  59.4156878
," 103",   8.1257254,  27.4316327,  35.5573581
," 104",   3.0314037,  13.5670485,  16.5984522
," 105",   4.1160126,   7.0342965,  11.1503091
," 106",   2.0233761,   7.0589636,   9.0823397
," 107",   2.0003493,    2.062568,   4.0629173
," 108",           1,   4.1156932,   5.1156932
," 109",           1,   3.1051446,   4.1051446
," 111",           .,   1.0168195,   1.0168195
," 114",   0.9925093,           1,   1.9925093
," 116",   1.0340176,           .,   1.0340176
," 117",           .,   2.0221524,   2.0221524
," 120",   2.0128021,           1,   3.0128021
," 121",   1.0166666,           .,   1.0166666

"2000","   0",6466.4630264,6127.0585388,12593.521565
,"   1",7624.5201191,7147.9777464,14772.497866
,"   2",8192.9514835,7676.9921556,15869.943639
,"   3",8238.2098431,7914.9983441,16153.208187
,"   4",9198.0186172,8776.7941568,17974.812774
,"   5",9519.8956421,8737.7820507,18257.677693
,"   6",9889.8721768,9442.4720163,19332.344193
,"   7",10480.441419,9824.2930106, 20304.73443
,"   8",10752.540567, 9914.723592,20667.264159
,"   9",10865.605587,10470.548487,21336.154074
,"  10",11318.707256,10902.814516,22221.521772
,"  11",11779.874392,10868.160841,22648.035233
,"  12",12093.892011,11649.496644,23743.388654
,"  13",12792.993139,12074.560696,24867.553835
,"  14",13653.564967,12708.494893, 26362.05986
,"  15",14102.835403,13369.142018,27471.977421
,"  16",14515.233353,13787.406208,28302.639561
,"  17",15366.566063,14618.944216,29985.510279
,"  18",16152.324394,15158.673081,31310.997474
,"  19",17187.246534,15986.499768,33173.746302
,"  20",17591.741971,16851.092278,34442.834249
,"  21",18724.436753,17776.215989,36500.652741
,"  22",18830.180849,17899.392219,36729.573068
,"  23", 19479.80697,18712.918862,38192.725833
,"  24",19122.641355,18323.377843,37446.019198
,"  25",19024.410155,18355.508213,37379.918368
,"  26",18791.872337,18052.622288,36844.494625
,"  27",18896.194629,17939.862808,36836.057437
,"  28",18883.447135, 17813.94096,36697.388095
,"  29",18659.969409,17870.902009,36530.871418
,"  30",18913.549136,18005.106351,36918.655487
,"  31",18778.336999,17971.913043,36750.250042
,"  32",18957.770877,18346.980842,37304.751719
,"  33",18739.616967,18347.456315,37087.073282
,"  34",19288.545621,18670.487284,37959.032906
,"  35",19457.553402,19321.115769,38778.669172
,"  36",19519.830573,18262.151649,37781.982222
,"  37",18974.845042,18407.785281,37382.630323
,"  38",19010.858597,18098.896701,37109.755298
,"  39",19401.678099,18509.023055,37910.701154
,"  40",19103.342488,18030.291526,37133.634013
,"  41",18627.047997,17529.844413, 36156.89241
,"  42",18393.717291,17462.399948,35856.117239
,"  43",17912.139895,16566.619849,34478.759743
,"  44",17283.677031,15635.359922,32919.036953
,"  45",16385.401344,14860.947834,31246.349179
,"  46",16425.918717,14807.654232,31233.572949
,"  47",16278.066885,14523.259553,30801.326438
,"  48",15151.958813,13756.084159,28908.042971
,"  49",15332.311061,14273.110956,29605.422017
,"  50",15212.344837,14640.139686,29852.484523
,"  51",16363.720934,15026.837553,31390.558487
